association	dataset	threshold value	standardized value
Primary somatosensory area, lower limb, layer 2/3	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.0073
KYO1	DepMap CRISPR Gene Dependency	1.0	2.64091
dyslexia	GeneRIF Biological Term Annotations	1.0	null
parolfactory gyri, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	0.825831
NCI-H1793	GDSC Cell Line Gene Expression Profiles	1.0	1.94719
BRD-K89863047	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.36085
H3K27me3_megakaryocyte_mm9_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
foxp2	GeneRIF Biological Term Annotations	1.0	null
Pheochromocytoma and Paraganglioma_PCPG_TCGA-SR-A6MX-01A-11R-A35L-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K4me3_mononuclear cell_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
Primary somatosensory area, mouth, layer 6b	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.33368
H3K4me1_spleen_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-QVJO-0011-R6A-SM-2S1QN	GTEx Tissue Sample Gene Expression Profiles	1.0	1.43025
8305C	CCLE Cell Line Gene Expression Profiles	-1.0	-2.50531
brain	HPA Tissue Gene Expression Profiles	1.0	1.85142
Orbital area, ventrolateral part, layer 5	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.09698
GTEX-XMD1-2826-SM-4AT5F	GTEx Tissue Sample Gene Expression Profiles	1.0	1.1595
GTEX-PSDG-0426-SM-2S1OF	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
HCC461	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.3678
liver	HPA Tissue Gene Expression Profiles	-1.0	-1.04146
Bladder Urothelial Carcinoma_BLCA_TCGA-GV-A3QI-01A-11R-A220-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
NB120-3333 (PSME3)	NURSA Protein Complexes	1.0	null
medial group of nuclei, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	1.82268
COLO741	CCLE Cell Line Gene CNV Profiles	1.0	1.36616
Uric Acid Measurement (Procedure)	DisGeNET Gene-Phenotype Associations	1.0	null
OVKATE	CCLE Cell Line Gene CNV Profiles	-1.0	-1.52129
Kidney renal clear cell carcinoma_KIRC_TCGA-DV-A4VX-01A-11R-A266-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
NCI-H1299	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Mutation Profiles	1.0	null
Brain Lower Grade Glioma_LGG_TCGA-DU-8162-01A-21R-2256-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
r9 portion of ambiguous motor nucleus (postmigratory)	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.04516
GTEX-UTHO-1026-SM-3GAF7	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
UACC-812	COSMIC Cell Line Gene Mutation Profiles	1.0	null
FOSL2	ENCODE Transcription Factor Targets	1.0	null
other	GAD High Level Gene-Disease Associations	1.0	0.295739
BRD-K61134709	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.04828
BRD-K15943105	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	4.82979
NCI-H1876	COSMIC Cell Line Gene Mutation Profiles	1.0	null
HIST1H2AB	Pathway Commons Protein-Protein Interactions	1.0	null
lateral mammillary nucleus, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	0.894306
GTEX-X585-0011-R11B-SM-46MUZ	GTEx Tissue Sample Gene Expression Profiles	1.0	1.36384
HAND2-30127528-KELLY-HUMAN-BRAIN-NEUROBLASTOMA	ChEA Transcription Factor Targets 2022	1.0	null
skeletalmuscle_c	HPA Tissue Sample Gene Expression Profiles	-1.0	-1.12776
GTEX-S341-1826-SM-3K2AB	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
hsa-miR-17	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.809003
HS 940.T	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.04724
Prostate adenocarcinoma_PRAD_TCGA-M7-A720-01A-12R-A32O-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
SIN3A_Panc1_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
MAFK	ENCODE Transcription Factor Targets	1.0	null
H3K4me1_embryonic fibroblast_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
parvocellular part of the r9LRt	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.78925
POLR2A_testis_mm9_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_H1 Derived Mesenchymal Stem Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
layer 6 of InsCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.06509
hsa-miR-570	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.7397
BACH1_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
HCC4011	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-0.882673
NCI-H522	COSMIC Cell Line Gene CNV Profiles	1.0	2.93899
four	GeneRIF Biological Term Annotations	1.0	null
GTEX-O5YT-0008-SM-4E3IQ	GTEx Tissue Sample Gene Expression Profiles	-1.0	-0.848721
KARS	Pathway Commons Protein-Protein Interactions	1.0	null
H2AFZ_skeletal muscle myoblast_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
SG in rostral entorhinal cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-0.899896
SMARCC1_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
HEC1B	CCLE Cell Line Gene CNV Profiles	-1.0	-2.83849
personality disorder	GWASdb SNP-Phenotype Associations	1.0	0.923916
Brain Lower Grade Glioma_LGG_TCGA-HW-7489-01A-11R-2027-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-TSE9-0011-R8A-SM-3DB7R	GTEx Tissue Sample Gene Expression Profiles	1.0	0.916371
SW1710	CCLE Cell Line Gene Expression Profiles	-1.0	-1.53273
GTEX-WWYW-0011-R6A-SM-3NB3G	GTEx Tissue Sample Gene Expression Profiles	1.0	1.06472
Kidney renal clear cell carcinoma_KIRC_TCGA-BP-4977-01A-01R-1334-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
suboptic nucleus	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-2.22936
NCIH2030	CCLE Cell Line Gene Expression Profiles	1.0	1.3731
doxycycline_mus musculus_gpl2872_gse33875	GEO Signatures of Differentially Expressed Genes for Small Molecules	1.0	null
FOXL1	JASPAR Predicted Transcription Factor Targets	1.0	null
H322T	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.23538
GTEX-POYW-0526-SM-2XCEY	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
MDAMB415	CCLE Cell Line Gene Expression Profiles	1.0	2.43091
GTEX-NPJ8-0011-R4a-SM-2HML3	GTEx Tissue Sample Gene Expression Profiles	1.0	0.828376
H3K4me3_IMR90	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
NCI-H522	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	3.19301
insular cortex	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.16466
bipolar affective disorder	GWASdb SNP-Phenotype Associations	1.0	0.440642
MYCN-28898695-NB1643-HUMAN-NERVE-NEUROBLASTOMA	ChEA Transcription Factor Targets 2022	1.0	null
H3K4me3_cardiac mesoderm_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
HCFC1_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
left	GeneRIF Biological Term Annotations	1.0	null
hsa-miR-106a	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.809003
GTEX-QVUS-0011-R4A-SM-3GAE7	GTEx Tissue Sample Gene Expression Profiles	1.0	1.11955
GTEX-WVLH-0011-R5A-SM-3MJFW	GTEx Tissue Sample Gene Expression Profiles	1.0	1.13827
k562	HPA Cell Line Gene Expression Profiles	-1.0	-1.41144
brain stem	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.088493
GTEX-OXRK-0126-SM-3NB1E	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
GTEX-WZTO-0011-R5B-SM-3NMC5	GTEx Tissue Sample Gene Expression Profiles	1.0	1.04725
FZR1	Pathway Commons Protein-Protein Interactions	1.0	null
Rectum adenocarcinoma_READ_TCGA-AG-4021-01A-01R-1736-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
neuronal	GeneRIF Biological Term Annotations	1.0	null
H3K4me3_myotube_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
medial geniculate body	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.541377
IMR32	DepMap CRISPR Gene Dependency	1.0	4.61838
PHF20	Pathway Commons Protein-Protein Interactions	1.0	null
